id,age,gen,designation,salary
126,28,F,Lawyer,20015
127,33,M,cheif Cheif Executive Officer Officer,73439
128,24,F,marketing,20009
129,36,F,marketing,07039
130,20,M,cheif Cheif Executive Officer Officer,60115
131,59,F,Administrator,15237
132,24,M,Other,94612
133,53,M,Engineer,78602
134,31,M,Programmer,80236
135,23,M,Student,38401
136,51,M,Other,97365
137,50,M,Educator,84408
138,46,M,doctor,53211
139,20,M,Student,08904
140,30,F,Student,32250
141,49,M,Programmer,36117
142,13,M,Other,48118
143,42,M,Technician,08832
144,53,M,Programmer,20910
145,31,M,Entertainment,20910
146,45,M,Artist,83814
147,40,F,Librarian,02143
148,33,M,Engineer,97006
149,35,F,marketing,17325
150,20,F,Artist,02139
151,38,F,Administrator,48103
152,33,F,Educator,68767
153,25,M,Student,60641
154,25,M,Student,53703
155,32,F,Other,11217
156,25,M,Educator,08360
157,57,M,Engineer,70808
158,50,M,Educator,27606
159,23,F,Student,55346
160,27,M,Programmer,66215
161,50,M,Lawyer,55104
162,25,M,Artist,15610
163,49,M,Administrator,97212
164,47,M,healthcare,80123
165,20,F,Other,53715
166,47,M,Educator,55113
167,37,M,Other,55113
168,48,M,Other,80127
169,52,F,Other,53705
170,53,F,healthcare,30067
171,48,F,Educator,78750
172,55,M,marketing,22207
173,56,M,Other,22306
174,30,F,Administrator,52302
175,26,F,Scientist,21911
176,28,M,Scientist,07030
177,20,M,Programmer,19104
178,26,M,Other,49512
179,15,M,Entertainment,20755
180,22,F,Administrator,60202
181,26,M,Cheif Executive Officer,21218
182,36,M,Programmer,33884
183,33,M,Scientist,27708
184,37,M,Librarian,76013
185,53,F,Librarian,97403
186,39,F,Cheif Executive Officer,00000
187,26,M,Educator,16801
188,42,M,Student,29440
189,32,M,Artist,95014
190,30,M,Administrator,95938
191,33,M,Administrator,95161
192,42,M,Educator,90840
193,29,M,Student,49931
194,38,M,Administrator,02154
195,42,M,Scientist,93555
196,49,M,Writer,55105
197,55,M,Technician,75094
198,21,F,Student,55414
199,30,M,Writer,17604
200,40,M,Programmer,93402
201,27,M,Writer,93402
202,41,F,Educator,60201
203,25,F,Student,32301
204,52,F,Librarian,10960
205,47,M,Lawyer,06371
206,14,F,Student,53115
207,39,M,marketing,92037
208,43,M,Engineer,01720
209,33,F,Educator,85710
210,39,M,Engineer,03060
211,66,M,salesman,32605
212,49,F,Educator,61401
213,33,M,Cheif Executive Officer,55345
214,26,F,Librarian,11231
215,35,M,Programmer,63033
216,22,M,Engineer,02215
217,22,M,Other,11727
218,37,M,Administrator,06513
219,32,M,Programmer,43212
220,30,M,Librarian,78205
221,19,M,Student,20685
222,29,M,Programmer,27502
223,19,F,Student,47906
224,31,F,Educator,43512
225,51,F,Administrator,58202
226,28,M,Student,92103
227,46,M,Cheif Executive Officer,60659
228,21,F,Student,22003
229,29,F,Librarian,22903
230,28,F,Student,14476
231,48,M,Librarian,01080
232,45,M,Scientist,99709
233,38,M,Engineer,98682
234,60,M,retired,94702
235,37,M,Educator,22973
236,44,F,Writer,53214
237,49,M,Administrator,63146
238,42,F,Administrator,44124
239,39,M,Artist,95628
240,23,F,Educator,20784
241,26,F,Student,20001
242,33,M,Educator,31404
243,33,M,Educator,60201
244,28,M,Technician,100005
245,26,F,Technician,110000
